Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
m11,0,0,-40729.71372,93.79331948,1794.003183,34.50598486,81459.42744,187.586639
m8,-6.376654357,7.520744701,-40736.09037,93.52096845,1826.858566,34.1974993,81472.18075,187.0419369
m10,-18.99857772,7.692458576,-40748.7123,93.38276923,1746.816507,33.63220042,81497.4246,186.7655385
m5,-29.32438441,14.41279205,-40759.0381,92.30654848,1900.347759,35.15458952,81518.07621,184.613097
m7,-40.66161095,10.32801525,-40770.37533,93.58882607,1756.894611,33.87717182,81540.75066,187.1776521
m4,-66.18987189,16.98507044,-40795.90359,92.19406529,1803.075645,34.52165952,81591.80718,184.3881306
m3,-436.6459299,47.36644492,-41166.35965,92.89087419,701.2935277,15.78481477,82332.7193,185.7817484
m2,-438.4505859,47.23963669,-41168.16431,92.41046402,775.2999188,17.62646919,82336.32861,184.820928
m1,-448.9656799,47.57331451,-41178.6794,92.04729409,596.7480505,13.19229468,82357.3588,184.0945882
