Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
m11,0,0,-44041.0861,99.91437461,1817.956022,34.03192695,88082.17221,199.8287492
m8,-18.52974444,9.1901926,-44059.61585,100.1140467,1881.393463,34.50619701,88119.2317,200.2280933
m10,-20.15556847,7.027925321,-44061.24167,99.81303209,1748.931501,33.31576917,88122.48334,199.6260642
m7,-52.49759251,12.15553606,-44093.5837,100.1984423,1767.480304,33.60515328,88187.16739,200.3968847
m5,-63.17715493,15.88242586,-44104.26326,98.33722068,1970.188813,34.27723071,88208.52652,196.6744414
m4,-120.4361718,18.84136294,-44161.52228,98.63940154,1827.414835,33.4891171,88323.04455,197.2788031
m3,-367.5089658,46.18281798,-44408.59507,88.93638053,683.9404649,13.70019776,88817.19014,177.8727611
m2,-373.2516288,46.51995288,-44414.33773,88.41895252,853.7446085,17.42467271,88828.67546,176.837905
m1,-384.8471297,46.62162216,-44425.93323,88.06248468,575.0171319,11.13099173,88851.86647,176.1249694
